id,codexid,cote,element,theme
38100,47,E_08_13,xiuhtic,08.01.03
38101,47,E_08_14,xihuitl_4,06.01.04
38102,47,E_08_14,ce,06.01.01
38103,47,E_08_14,tochtli,02.02.08
38104,47,E_08_14,xiuhtic,08.01.03
38105,47,E_08_15,xihuitl_4,06.01.04
38106,47,E_08_15,ce,06.01.01
38107,47,E_08_15,acatl,03.02.05
38108,47,E_08_15,xiuhtic,08.01.03
38109,47,E_08_16,huitzilin,02.01.04
38110,47,E_08_16,ihuitl,02.01.16
38111,47,E_08_17,popoca,04.02.02
38112,47,E_08_17,chimalli,05.13.02
38113,47,E_08_20,tlacatl,01.01.01
38114,47,E_08_20,icopi,01.01.07
38115,47,E_09_01,macpalli,01.03.07
38116,47,E_09_01,piqui,01.03.06
38117,47,E_09_01,zacatl,03.02.08
38118,47,E_09_02,mecatl,05.11.03
38119,47,E_09_02,artefacto,05.15.18
38120,47,E_09_05,metl,03.02.10
38121,47,E_09_05,tetl,04.04.01
38122,47,E_09_07,calli,05.01.01
38123,47,E_09_09,tlacatl,01.01.01
38124,47,E_09_09,coyotl,02.02.04
38125,47,E_09_11,tzihuactli,03.02.01
38126,47,E_09_13,tepetl,04.03.08
38127,47,E_09_13,chalchihuitl,04.04.03
38128,47,E_09_14,tzihuactli,03.02.01
38129,47,E_09_16,xocpalmachiyotl,01.04.03
38130,47,E_09_17,xocpalmachiyotl,01.04.03
38131,47,E_09_18,xihuitl_4,06.01.04
38132,47,E_09_18,ce,06.01.01
38133,47,E_09_18,tecpatl,04.04.08
38134,47,E_09_18,xiuhtic,08.01.03
38135,47,E_09_19,xihuitl_4,06.01.04
38136,47,E_09_19,ce,06.01.01
38137,47,E_09_19,calli,05.01.01
38138,47,E_09_19,xiuhtic,08.01.03
38139,47,E_09_20,xihuitl_4,06.01.04
38140,47,E_09_20,ce,06.01.01
38141,47,E_09_20,tochtli,02.02.08
38142,47,E_09_20,xiuhtic,08.01.03
38143,47,E_09_21,xihuitl_4,06.01.04
38144,47,E_09_21,ce,06.01.01
38145,47,E_09_21,acatl,03.02.05
38146,47,E_09_21,xiuhtic,08.01.03
38147,47,E_09_22,xihuitl_4,06.01.04
38148,47,E_09_22,ce,06.01.01
38149,47,E_09_22,tecpatl,04.04.08
