id,codexid,cote,lecture,element
3034,8,A45r_2_A,echopitl," tototl, etl,"
3035,8,A45r_3_A,cuetzpal," tzontli, cuetzpalin,"
3036,8,A45r_4_A,tochtli," tochtli,"
3037,8,A45r_4_B,tolol," toloa,"
3038,8,A45v_1_A,aca," mitl, acatl, atl,"
3039,8,A45v_2_A,miltepitl," mitl, tlalli, tentli,"
3040,8,A45v_3_A,tlalohuacuauh," ohuatl, tlalli, tlantli,"
3041,8,A45v_4_A,chimaltetlacauh," tlacatl, cuauhcozcatl, chimalli,"
3042,8,A46r_1_A,tlaocoxtica," onoc, ixayotl, tlantli, petlatl,"
3043,8,A46r_2_A,tecuacillotl," tecciztli, tlacatl, tentli,"
3044,8,A46r_3_A,cuetzpal," cuetzpalin,"
3045,8,A46r_4_A,cuetlach," cuetlachtli,"
3046,8,A46v_1_A,tlahuel ?," huehuetl, ?, tlantli,"
3047,8,A47r_1_A,tozquechol," toztli, quecholli,"
3048,8,A47r_2_A,achotl ?," huitzilin, cuicatl, atl,"
3049,8,A47r_3_A,tecolotl," tecolotl,"
3050,8,A47r_4_A,tecolotl," tecolotl,"
3051,8,A47r_5_A,ehuacozca ?," cozcatl,"
3052,8,A47v_1_A,toxihui," xihuitl_1, tototl,"
3053,8,A47v_2_A,xicon," xicotli,"
3054,8,A47v_3_A,cuetzpal," cuetzpalin,"
3055,8,A47v_4_A,quecil ?," ?, cilli,"
3056,8,A47v_5_A,tlaocol," tlacatl, ixayotl,"
3057,8,A48r_1_A,cozcacuauh," cuauhtli, cozcatl,"
3058,8,A48r_2_A,tetzauh," malacatl,"
3059,8,A48r_2_B,tlalchichtli," tecolotl, tlalli, tlantli,"
3060,8,A48r_3_A,atonal," atl, tonalli,"
3061,8,A48r_4_A,tlatozcac," tlantli, tototl, cactli, atl,"
3062,8,A48r_5_A,tzontemoc," tzontli, xocpalmachiyotl,"
3063,8,A48r_5_B,tecuani," ocelotl,"
3064,8,A48r_6_A,tochcama," tentli, tochtli, ?,"
3065,8,A48r_6_B,ohua," ohuatl,"
3066,8,A48v_1_A,nacazic," atl, tentli, nacaztli,"
3067,8,A48v_2_A,tlilcohuatl ?," cohuatl, atl, ?, ?,"
3068,8,A48v_3_A,huilotl," huilotl,"
3069,8,A48v_4_A,tacoyol ?," coyolli, comitl, atl,"
3070,8,A48v_5_A,cuauhtlix," ixtelolotli, cuauhtli,"
3071,8,A49r_1_A,ohua," ohuatl,"
3072,8,A49r_2_A,ihuitemoc," ihuitl, xocpalmachiyotl,"
3073,8,A49r_3_A,ixtoncal ?," ixtelolotli, tototl, atl,"
3074,8,A49r_4_A,?," calli, tlacatl, atl,"
3075,8,A49r_5_A,quilayotl," ayotl, xihuitl_1, atl,"
3076,8,A49v_1_A,tlatlaco," comitl, tlantli, tlantli,"
3077,8,A49v_2_A,?," tentli, comitl, tetl, atl,"
3078,8,A50r_1_A,atlazol ?," ?, huitzoctli, ?, atl,"
3079,8,A50r_2_A,xochitonal," tonalli, tlanextli, xochitl,"
3080,8,A50r_3_A,tlapayauh," quiyahuitl, pantli, tlantli,"
3081,8,A50r_4_A,cuauhi," atl, cuauhtli,"
3082,8,A50r_5_A,tohuexiuh," xihuitl_1, huehuetl, tototl,"
3083,8,A50v_1_A,acuetzpal," cuetzpalin, atl,"
3084,8,A50v_2_A,cohuana," cihuatl, atl, comitl,"
3085,8,A50v_3_A,quechtlanxochitl," xochitl, tlantli, tilmatli,"
3086,8,A50v_4_A,chiauhtlan ?," tlantli, atl, comitl,"
3087,8,A51r_1_A,huilotl," huilotl,"
3088,8,A51r_2_A,itzcuin," itzcuintli,"
3089,8,A51r_3_A,ehecatl," nextli, etl,"
3090,8,A51r_4_A,?," otli, cihuatl, ce, xocpalmachiyotl,"
3091,8,A51v_1_A,cohuatl," atl, comitl,"
3092,8,A51v_2_A,ayopohuitl ?," tlatoa, ayotli, tentli, atl,"
3093,8,A51v_3_A,cihuacuicatl," cihuatl, cuicatl,"
3094,8,A51v_4_A,cuitlahuac ?," atl, ?, tlantli, cuitlatl,"
3095,8,A52r_1_A,ocelotl," ocelotl,"
3096,8,A52r_2_A,teochia," tlacatl, xocpalmachiyotl, otli,"
3097,8,A52r_3_A,caltonal," tonalli, calli,"
3098,8,A52r_4_A,nauhyotl," ce,"
3099,8,A52r_5_A,cihuatlal," cihuatl, tlantli,"
3100,8,A52v_1_A,tlaltecahuacan," tlantli, tlalli, atl, macpalli,"
3101,8,A53r_1_A,ehecacozca," nextli, etl, cozcatl,"
3102,8,A53r_2_A,centlal," centli, tlantli, tlalli,"
3103,8,A53r_3_A,cohuatl," atl, comitl,"
